Band gap (eV),"Voc,sq (V)"
0.5,0.30860839473124346
0.51,0.3175598178946163
0.52,0.3264880165107937
0.53,0.33539165737907606
0.54,0.3442919524393548
0.55,0.353194289321997
0.56,0.3620953116896742
0.5700000000000001,0.37101359172499604
0.5800000000000001,0.3799353211693338
0.5900000000000001,0.3888690746783145
0.6000000000000001,0.3978495143490161
0.6100000000000001,0.4068539198181536
0.6200000000000001,0.41595640659783545
0.6300000000000001,0.4250195886910453
0.6400000000000001,0.43421652662826526
0.6500000000000001,0.44344984991957265
0.6600000000000001,0.45269530923893025
0.6700000000000002,0.46195181178942857
0.6800000000000002,0.47121840175357227
0.6900000000000002,0.4804685957292744
0.7000000000000002,0.48960231045284397
0.7100000000000002,0.49867027822306204
0.7200000000000002,0.5077282527843154
0.7300000000000002,0.5167696373897652
0.7400000000000002,0.5258123699390026
0.7500000000000002,0.5348587333398375
0.7600000000000002,0.5439111720072274
0.7700000000000002,0.5529667711416465
0.7800000000000002,0.5620308550739057
0.7900000000000003,0.5711081840443283
0.8000000000000003,0.5801742429054594
0.8100000000000003,0.5892508837467857
0.8200000000000003,0.5983545586868927
0.8300000000000003,0.607523170800536
0.8400000000000003,0.6168088571998676
0.8500000000000003,0.6261272511169097
0.8600000000000003,0.6354835932856907
0.8700000000000003,0.6448785035893644
0.8800000000000003,0.6542984974712477
0.8900000000000003,0.6637338002657837
0.9000000000000004,0.6731756427781191
0.9100000000000004,0.6826236084394562
0.9200000000000004,0.6920713541102855
0.9300000000000004,0.7014082113853991
0.9400000000000004,0.7106817000314481
0.9500000000000004,0.7199093492415859
0.9600000000000004,0.729107167870473
0.9700000000000004,0.7382950868477713
0.9800000000000004,0.7475145550788262
0.9900000000000004,0.7567144623848188
1.0000000000000004,0.7659057427452408
1.0100000000000005,0.7751043806761164
1.0200000000000005,0.7843196700138165
1.0300000000000005,0.793558034319468
1.0400000000000005,0.8027994465943569
1.0500000000000005,0.8120628058999094
1.0600000000000005,0.8213264594130892
1.0700000000000005,0.8306367404433498
1.0800000000000005,0.8400398836733153
1.0900000000000005,0.8494601380417128
1.1000000000000005,0.858931187074635
1.1100000000000005,0.868406122357099
1.1200000000000006,0.8777649480232581
1.1300000000000006,0.8870662594903146
1.1400000000000006,0.896343577973734
1.1500000000000006,0.9056121802565834
1.1600000000000006,0.9148797440730992
1.1700000000000006,0.9241463921106134
1.1800000000000006,0.9334106127706197
1.1900000000000006,0.9426752783446722
1.2000000000000006,0.9519406444706713
1.2100000000000006,0.9612067144683863
1.2200000000000006,0.9704762615647531
1.2300000000000006,0.979744098902964
1.2400000000000007,0.9890171058208868
1.2500000000000007,0.9982874654771295
1.2600000000000007,1.0075706856618267
1.2700000000000007,1.0168989274014866
1.2800000000000007,1.0262337842377494
1.2900000000000007,1.035639064180789
1.3000000000000007,1.045098174512593
1.3100000000000007,1.0545818555769972
1.3200000000000007,1.0640571138222161
1.3300000000000007,1.0735935425066492
1.3400000000000007,1.08299019616096
1.3500000000000008,1.0923439839498763
1.3600000000000008,1.1017296503862024
1.3700000000000008,1.111102587689146
1.3800000000000008,1.1204899384023266
1.3900000000000008,1.129835045166687
1.4000000000000008,1.1391465424245928
1.4100000000000008,1.1484603377625848
1.4200000000000008,1.1577737451522125
1.4300000000000008,1.1670915386966618
1.4400000000000008,1.1764091162427681
1.4500000000000008,1.1857289577936416
1.4600000000000009,1.1950650051863674
1.4700000000000009,1.2043852699291506
1.4800000000000009,1.2137090070789895
1.4900000000000009,1.2230525748453103
1.5000000000000009,1.2324134619309959
1.510000000000001,1.2417844020227593
1.520000000000001,1.25117450806554
1.530000000000001,1.2605266782194133
1.540000000000001,1.2698573446993497
1.550000000000001,1.2791914823626274
1.560000000000001,1.288524808098754
1.570000000000001,1.2978608876386089
1.580000000000001,1.3071858333086384
1.590000000000001,1.3165094276632923
1.600000000000001,1.3258327139475796
1.610000000000001,1.3351606385457324
1.620000000000001,1.3445538926676228
1.630000000000001,1.3541117948400618
1.640000000000001,1.3634793827978404
1.650000000000001,1.372807418492721
1.660000000000001,1.3821374414460934
1.670000000000001,1.3914691751676331
1.680000000000001,1.4008132522210541
1.690000000000001,1.4101596111053538
1.700000000000001,1.4195366265945406
1.710000000000001,1.4289348159316204
1.720000000000001,1.438317478693256
1.730000000000001,1.4477316062787373
1.740000000000001,1.4570759177214925
1.750000000000001,1.466414924494819
1.7600000000000011,1.4757563167682681
1.7700000000000011,1.4851110146742885
1.7800000000000011,1.4944590726415552
1.7900000000000011,1.5038228843224604
1.8000000000000012,1.5132069661062166
1.8100000000000012,1.522594174549057
1.8200000000000012,1.531931731774924
1.8300000000000012,1.5412677443973763
1.8400000000000012,1.5506041602770984
1.8500000000000012,1.5599409988665207
1.8600000000000012,1.569276513957395
1.8700000000000012,1.5786181454767334
1.8800000000000012,1.5879657406739425
1.8900000000000012,1.5973411363015018
1.9000000000000012,1.6066937557919205
1.9100000000000013,1.616047713764281
1.9200000000000013,1.625399199373483
1.9300000000000013,1.6347397074067698
1.9400000000000013,1.6440839719755196
1.9500000000000013,1.6534269064797895
1.9600000000000013,1.662775638159801
1.9700000000000013,1.6721361412490954
1.9800000000000013,1.681496037383816
1.9900000000000013,1.6908562419435962
2.0000000000000013,1.7002042831354585
2.0100000000000016,1.7095546152301593
2.0200000000000014,1.7189094124182582
2.030000000000001,1.7282575006843344
2.0400000000000014,1.7376040510837372
2.0500000000000016,1.7469484114464235
2.0600000000000014,1.7562994276500974
2.070000000000001,1.7656517450193927
2.0800000000000014,1.7750028542581342
2.0900000000000016,1.784361300755923
2.1000000000000014,1.79372113664128
2.110000000000001,1.8030960614058889
2.1200000000000014,1.8124370774847107
2.1300000000000017,1.8217710128712457
2.1400000000000015,1.8311156849465897
2.1500000000000012,1.840468386142859
2.1600000000000015,1.849819446926515
2.1700000000000017,1.8591648177759457
2.1800000000000015,1.8685196004124602
2.1900000000000013,1.8778651533488973
2.2000000000000015,1.8872098746940704
2.2100000000000017,1.8965497724163562
2.2200000000000015,1.9059017365876971
2.2300000000000013,1.9152420995468558
2.2400000000000015,1.924571977450326
2.2500000000000018,1.9339027746623993
2.2600000000000016,1.943234917475178
2.2700000000000014,1.9525694626838437
2.2800000000000016,1.9618965882834785
2.290000000000002,1.9712304139133083
2.3000000000000016,1.9805775922951436
2.3100000000000014,1.989905160687708
2.3200000000000016,1.9992211010160383
2.330000000000002,2.008559719761114
2.3400000000000016,2.0178668453016955
2.3500000000000014,2.0271859164321495
2.3600000000000017,2.0365287685346636
2.370000000000002,2.045843096725057
2.3800000000000017,2.0551613939826754
2.3900000000000015,2.064499225998325
2.4000000000000017,2.0738697889187785
2.410000000000002,2.0831870877775787
2.4200000000000017,2.0925037773798008
2.4300000000000015,2.1018005207963104
2.4400000000000017,2.111101215634796
2.450000000000002,2.1203975528637344
2.4600000000000017,2.129700456301854
2.4700000000000015,2.13900453157544
2.4800000000000018,2.1483107651285938
2.490000000000002,2.1576020089513066
2.5000000000000018,2.1668806308013813
2.5100000000000016,2.176147196500621
2.520000000000002,2.185428691686712
2.530000000000002,2.1946994912371065
2.540000000000002,2.2039889806704163
2.5500000000000016,2.2133076580910815
2.560000000000002,2.2225945619390512
2.570000000000002,2.2318423996023027
2.580000000000002,2.2410764639599767
2.5900000000000016,2.2503107901320094
2.600000000000002,2.259541594264338
2.610000000000002,2.2687734019143138
2.620000000000002,2.2780037666266217
2.6300000000000017,2.2872224643913137
2.640000000000002,2.296460890430545
2.650000000000002,2.3056761481834496
2.660000000000002,2.314900707768965
2.6700000000000017,2.32411072957492
2.680000000000002,2.333298494436807
2.690000000000002,2.342475929231771
2.700000000000002,2.3516676661167923
2.7100000000000017,2.360846110590654
2.720000000000002,2.370004772610846
2.730000000000002,2.379174089354585
2.740000000000002,2.388363377735661
2.7500000000000018,2.3974937894298654
2.760000000000002,2.4066276464568355
2.7700000000000022,2.4157720341279534
2.780000000000002,2.42494932932595
2.790000000000002,2.4341140152567564
2.800000000000002,2.44326794699846
2.8100000000000023,2.45242327844668
2.820000000000002,2.461601767023789
2.830000000000002,2.4708418346553134
2.840000000000002,2.4799961753512734
2.8500000000000023,2.489155129498376
2.860000000000002,2.4983880340962568
2.870000000000002,2.5075491446039986
2.880000000000002,2.516899564927465
2.8900000000000023,2.526216321333959
2.900000000000002,2.535419850807756
2.910000000000002,2.544605726659646
2.920000000000002,2.55375317965655
2.9300000000000024,2.56290460131407
2.940000000000002,2.5720270200671718
2.950000000000002,2.5811429526281113
2.960000000000002,2.5902831567455733
2.9700000000000024,2.5994013543001397
2.980000000000002,2.6084751354032636
2.990000000000002,2.617541477628765
3.000000000000002,2.626623947909082
3.0100000000000025,2.635666806609432
3.0200000000000022,2.6447267767521514
3.030000000000002,2.653817725541738
3.0400000000000023,2.6628356422229564
3.0500000000000025,2.6718963522544272
3.0600000000000023,2.6809253445158054
3.070000000000002,2.689907519936489
3.0800000000000023,2.698870808336659
3.0900000000000025,2.7077928007413847
3.1000000000000023,2.7167401265625215
3.110000000000002,2.7257111710293596
3.1200000000000023,2.7348972408556986
3.1300000000000026,2.7442842310338516
3.1400000000000023,2.7534325120605043
3.150000000000002,2.762807987729326
3.1600000000000024,2.772182263475326
3.1700000000000026,2.7812962356631243
3.1800000000000024,2.7904197772580606
3.190000000000002,2.799620937779389
3.2000000000000024,2.8088801198222804
3.2100000000000026,2.818123446705634
3.2200000000000024,2.8273592326600716
3.230000000000002,2.8366539340647154
3.2400000000000024,2.846057021416177
3.2500000000000027,2.855317869436419
3.2600000000000025,2.8644207682853753
3.2700000000000022,2.873569782767098
3.2800000000000025,2.8825694952373326
3.2900000000000027,2.891612111501396
3.3000000000000025,2.900739259778966
3.3100000000000023,2.909932203256051
3.3200000000000025,2.919161918440667
3.3300000000000027,2.9283018057030645
3.3400000000000025,2.937344533858612
3.3500000000000023,2.946367770756607
3.3600000000000025,2.9553313886144084
3.3700000000000028,2.964354101522434
3.3800000000000026,2.9732976496324484
3.3900000000000023,2.9821941855875274
3.4000000000000026,2.9911884932002812
3.410000000000003,3.0002176123384596
3.4200000000000026,3.0092353149502973
3.4300000000000024,3.0183234084680937
3.4400000000000026,3.0273883264279995
3.450000000000003,3.036370795499569
3.4600000000000026,3.045550812548268
3.4700000000000024,3.054708942785875
3.4800000000000026,3.063775009401157
3.490000000000003,3.0726867440389145
3.5000000000000027,3.08151364457335
